# Species	Genes	Alg.-Conn.	CBS432	DBVPG6044	DBVPG6765	N44	S288c	SK1	Sac_bayanus_var_uvarum_CBS7001.Scannell_2011	Sac_eubayanus_FM1318.Baker_2015	Sac_kudriavzevii_IFO1802T.Scannell_2011	Sac_kudriavzevii_ZP591.Scannell_2011	Sac_mikatae_IFO1815T.Scannell_2011	Sac_arboricolus_H6.Liti_2013	UFRJ50816	UWOPS034614	UWOPS919171	Y12	YPS128	YPS138
18	18	1	CBS432_01G00130	DBVPG6044_01G00130	DBVPG6765_01G00140	N44_01G00140	S288c_01G00150	SK1_01G00160	Sbay_1.13	Seub_DI49_0010.t01	Skud_1.9	Port_1.10	Smik_1.12	Sarb_01G00090	UFRJ50816_01G00130	UWOPS034614_01G00130	UWOPS919171_01G00130	Y12_01G00110	YPS128_01G00130	YPS138_01G00140
18	18	1	CBS432_01G00140	DBVPG6044_01G00140	DBVPG6765_01G00150	N44_01G00150	S288c_01G00160	SK1_01G00170	Sbay_1.14	Seub_DI49_0011.t01	Skud_1.10	Port_1.11	Smik_1.13	Sarb_01G00100	UFRJ50816_01G00140	UWOPS034614_01G00140	UWOPS919171_01G00140	Y12_01G00120	YPS128_01G00140	YPS138_01G00150
18	18	1	CBS432_01G00150	DBVPG6044_01G00150	DBVPG6765_01G00160	N44_01G00160	S288c_01G00170	SK1_01G00180	Sbay_1.15	Seub_DI49_0012.t01	Skud_1.11	Port_1.12	Smik_1.14	Sarb_01G00110	UFRJ50816_01G00150	UWOPS034614_01G00150	UWOPS919171_01G00150	Y12_01G00130	YPS128_01G00150	YPS138_01G00160
18	18	1	CBS432_01G00160	DBVPG6044_01G00160	DBVPG6765_01G00170	N44_01G00170	S288c_01G00180	SK1_01G00190	Sbay_1.16	Seub_DI49_0013.t01	Skud_1.12	Port_1.13	Smik_1.15	Sarb_01G00120	UFRJ50816_01G00160	UWOPS034614_01G00160	UWOPS919171_01G00160	Y12_01G00140	YPS128_01G00160	YPS138_01G00170
18	18	1	CBS432_01G00170	DBVPG6044_01G00170	DBVPG6765_01G00180	N44_01G00180	S288c_01G00190	SK1_01G00200	Sbay_1.17	Seub_DI49_0014.t01	Skud_1.13	Port_1.14	Smik_1.16	Sarb_01G00130	UFRJ50816_01G00170	UWOPS034614_01G00170	UWOPS919171_01G00170	Y12_01G00150	YPS128_01G00170	YPS138_01G00180
18	18	1	CBS432_01G00180	DBVPG6044_01G00180	DBVPG6765_01G00190	N44_01G00190	S288c_01G00200	SK1_01G00210	Sbay_1.18	Seub_DI49_0015.t01	Skud_1.14	Port_1.15	Smik_1.17	Sarb_01G00140	UFRJ50816_01G00180	UWOPS034614_01G00180	UWOPS919171_01G00180	Y12_01G00160	YPS128_01G00180	YPS138_01G00190
18	18	1	CBS432_01G00190	DBVPG6044_01G00190	DBVPG6765_01G00200	N44_01G00200	S288c_01G00210	SK1_01G00220	Sbay_1.19	Seub_DI49_0016.t01	Skud_1.15	Port_1.16	Smik_1.18	Sarb_01G00150	UFRJ50816_01G00190	UWOPS034614_01G00190	UWOPS919171_01G00190	Y12_01G00170	YPS128_01G00190	YPS138_01G00200
18	18	1	CBS432_01G00200	DBVPG6044_01G00200	DBVPG6765_01G00210	N44_01G00210	S288c_01G00220	SK1_01G00230	Sbay_1.20	Seub_DI49_0017.t01	Skud_1.16	Port_1.17	Smik_1.19	Sarb_01G00160	UFRJ50816_01G00200	UWOPS034614_01G00200	UWOPS919171_01G00200	Y12_01G00180	YPS128_01G00200	YPS138_01G00210
18	18	0.333	CBS432_01G00210	DBVPG6044_01G00210	DBVPG6765_01G00220	N44_01G00220	S288c_01G00230	SK1_01G00240	Sbay_1.21	Seub_DI49_0018.t01	Skud_1.17	Port_1.18	Smik_1.20	Sarb_01G00170	UFRJ50816_01G00210	UWOPS034614_01G00210	UWOPS919171_01G00210	Y12_01G00190	YPS128_01G00210	YPS138_01G00220
18	18	1	CBS432_01G00220	DBVPG6044_01G00220	DBVPG6765_01G00230	N44_01G00230	S288c_01G00240	SK1_01G00250	Sbay_1.22	Seub_DI49_0019.t01	Skud_1.18	Port_1.19	Smik_1.21	Sarb_01G00180	UFRJ50816_01G00220	UWOPS034614_01G00220	UWOPS919171_01G00220	Y12_01G00200	YPS128_01G00220	YPS138_01G00230
18	18	1	CBS432_01G00050	DBVPG6044_01G00050	DBVPG6765_01G00060	N44_01G00060	S288c_01G00070	SK1_01G00080	Sbay_1.5	Seub_DI49_0002.t01	Skud_1.1	Port_1.2	Smik_1.4	Sarb_01G00010	UFRJ50816_01G00040	UWOPS034614_01G00050	UWOPS919171_01G00050	Y12_01G00030	YPS128_01G00050	YPS138_01G00060
